,Session 1,Session 1,Session 2,Session 2,Session 3,Session 3,Session 4,Session 4
Class,Room,Teacher,Room,Teacher,Room,Teacher,Room,Teacher
EA1,46,API,46,API,46,API,45,API
EA2,43,GTO,43,GTO,40,LEX,40,LEX
EA3,P4,LEX,P4,LEX,43,GTO,43,GTO
EA4,45,BDO,45,BDO,44,ZHA,44,ZHA
EB1,46,API,46,API,31,KMO,31,KMO
EB2,43,GTO,43,GTO,40,LEX,40,LEX
EB3,40,LEX,40,LEX,43,GTO,43,GTO
EB4,45,BDO,45,BDO,44,ZHA,44,ZHA
EB5,30,MCT,30,MCT,46,API,46,API
EB6,44,ZHA,44,ZHA,30,MCT,30,MCT
IA1,44,MTE,44,MTE,60,CMG,60,CMG
IA2,60,MOL,F2,JRE,14,PRO,15,PFR
IA3,17,RRO,60,MOL,F2,JRE,14,PRO
IA4,F6,DJE,17,RRO,71,MOL,F2,JRE
IA5,F2,JRE,14,PRO,17,RRO,71,MOL
IB1,14,PRO,15,PFR,19,JCL,17,RRO
IB2,58,GTN,58,GTN,44,MTE,44,MTE
IB3,15,PFR,F6,DJE,25,FBR,19,JCL
IB4,25,FBR,6,PKA,15,PFR,F6,DJE
IB5,6,PKA,19,JCL,F6,DJE,25,FBR
MA1,60,CMG,60,CMG,60,CMG,59,CMG
MA2,57,DGE,57,DGE,54,JMA,54,JMA
MA3,54,JMA,54,JMA,57,DGE,57,DGE
MA4,59,MGU,59,MGU,58,GTN,58,GTN
MA5,58,GTN,58,GTN,59,MGU,60,MGU
MB1,60,CMG,60,CMG,45,FLE,45,FLE
MB2,57,DGE,57,DGE,54,JMA,54,JMA
MB3,54,JMA,54,JMA,57,DGE,57,DGE
MC1,59,MGU,59,MGU,58,GTN,58,GTN
SA1,80,GBA,81,GBR,86,TZO,85,BDE
SA2,81,GBR,82,PTY,88,BGA,86,TZO
SA3,84,SPC,88,BGA,81,GBR,83,JFL
SA4,82,PTY,84,SPC,83,JFL,88,BGA
SA5,85,BDE,80,GBA,89,DWA,89,PRE
SA6,86,TZO,85,BDE,82,PTY,81,GBR
SB1,88,BGA,86,TZO,80,GBA,84,SPC
SB2,89,DWA,83,JFL,84,SPC,82,PTY
SC1,83,JFL,89,DWA,85,BDE,80,GBA
